2020-01-16,6.8,7.7,11.4,3.8
2020-01-17,6.433,4.7,9.3,1.2
2020-01-18,3.017,5.6,7.2,3.8
2020-01-19,0.083,4.2,5,3.4
2020-01-20,2.517,2.4,4.9,0.1
2020-01-21,7,2.6,6.9,-0.5
2020-01-22,0,4.3,6.1,2.6
2020-01-23,0.433,3.7,6.3,-0.1
2020-01-24,6.483,0.4,4,-2.5
2020-01-25,0,0.6,1.6,-0.2
2020-01-26,0,-0.4,0.8,-1.8
2020-01-27,2.417,5.2,9.1,0.6
2020-01-28,2.083,5.7,8.9,2.6
2020-01-29,0.183,4.7,6.5,3.1
2020-01-30,0,5.8,8.6,2.3
2020-01-31,2.517,9.9,11.3,6.1
2020-02-01,0,10.9,12.7,8
2020-02-02,0,7.4,8.9,5.7
2020-02-03,0.167,7.4,9.9,5.6
2020-02-04,0.55,5.3,6.8,3.5
2020-02-05,7.183,3.4,5.9,1.7
2020-02-06,0.133,4.7,6.3,2.6
2020-02-07,0,5.8,6.5,5
2020-02-08,6.867,5.1,9,1.1
2020-02-09,5.5,9.5,13.7,5.4
2020-02-10,0.583,7.4,14.1,3.7
2020-02-11,0.017,4.9,6.9,3.4
2020-02-12,0.45,4.7,6.8,3.1
2020-02-13,3.133,3.8,5.9,1.4
2020-02-14,0,4.1,6,1.9
2020-02-15,6.317,5.6,11,0.9
2020-02-16,0.233,11.8,16,7.3
2020-02-17,0.567,9.9,12,7
2020-02-18,1.1,7,8.3,5
2020-02-19,1.95,5.4,6.8,3.4
2020-02-20,0.433,5.1,7.8,1.7
2020-02-21,1.867,6.2,8.4,4.2
2020-02-22,0.55,8.4,12.6,5.7
2020-02-23,0,6.8,8.5,3.8
2020-02-24,0.2,5.3,7.8,3.7
2020-02-25,3.717,8,10.6,4.1
2020-02-26,0,2.9,4.4,1.2
2020-02-27,0.467,3.5,5.9,1.7
2020-02-28,1.867,3.9,8,1.4
2020-02-29,2.9,6.8,12.1,1
2020-03-01,4.217,7.1,10.5,4.4
2020-03-02,2.267,5.9,8.9,3.1
2020-03-03,0,4.8,6.9,3.1
2020-03-04,4.633,4.8,9.5,1.8
2020-03-05,4.85,5.3,10.3,0.7
2020-03-06,0,5.4,7.1,3.7
2020-03-07,0,4.5,6.8,2.3
2020-03-08,1.4,5.3,9.8,0.5
2020-03-09,0.8,7.5,10.7,4.8
2020-03-10,0.45,6.3,10.9,3
2020-03-11,3.983,10,12.8,7.9
2020-03-12,3.55,10,13.4,5.9
2020-03-13,2.05,6.4,9.9,2.6
2020-03-14,9.75,3.7,8.7,-1.2
2020-03-15,9.7,5.7,12.1,-0.9
2020-03-16,9.867,9.5,17.3,2.6
2020-03-17,5.817,10,16,3.8
2020-03-18,9.117,12,18,6.6
2020-03-19,1.15,10.6,14.9,7.5
2020-03-20,0,7.6,9.4,5
2020-03-21,6.783,3.8,6.9,-0.2
2020-03-22,11,1.6,6,-3.1
2020-03-23,11.217,1.3,5.8,-4.6
2020-03-24,11.25,2.7,8.4,-3.7
2020-03-25,11.3,3.8,10.2,-3.2
2020-03-26,10.833,5.6,11.2,-1
2020-03-27,10.683,9.2,15.6,3.5
2020-03-28,10.667,7.9,14.8,1.2
2020-03-29,0.283,2.9,5.7,-3.5
2020-03-30,2.333,0.6,3.9,-3.8
2020-03-31,5.75,1.7,5.3,-2.2
2020-04-01,9.733,4.7,10.7,-1.8
2020-04-02,3.217,7.2,11.3,5
2020-04-03,7.833,7.5,11.2,4.9
2020-04-04,9.6,8,13,2.5
2020-04-05,12.05,10,16.3,2.4
2020-04-06,12.083,13.8,21.9,4.9
2020-04-07,12.067,13.6,19.8,7
2020-04-08,12.05,14.2,22.2,5.4
2020-04-09,8.533,12.4,18,6.2
2020-04-10,12.133,10,16.4,2.7
2020-04-11,12.183,9.8,16.2,2.4
2020-04-12,11.9,14.2,24,2.9
2020-04-13,5.417,8,12.9,3.6
2020-04-14,10.767,6.2,11,0.6
2020-04-15,8.45,9.8,15.6,4.8
2020-04-16,11.583,11.8,17.9,5.3
2020-04-17,12.233,11.4,17.8,5.6
2020-04-18,12.917,10.6,16.6,3.4
2020-04-19,12.45,9,13.1,5.3
2020-04-20,13.067,9.9,15.1,3.3
2020-04-21,13.1,11,16.7,4.7
2020-04-22,13.15,12.2,18.4,5.1
2020-04-23,13.117,14.5,21.1,6.4
2020-04-24,9.2,14.5,22.7,7.2
2020-04-25,2.817,10.9,15.3,7.5
2020-04-26,8.083,12.4,18.7,4.4
2020-04-27,10.783,15.1,22.8,4.3
2020-04-28,8.783,17,23.7,9
2020-04-29,1.867,12,17.7,8
2020-04-30,4.467,13.7,18.8,9.7
2020-05-01,4.4,13.2,17.7,9.3
2020-05-02,4.567,9.9,15.2,6.7
2020-05-03,2.8,10.7,15,6.3
2020-05-04,0.233,9,11.9,4.6
2020-05-05,10.317,7.5,11.9,3.6
2020-05-06,11.25,11.4,16.6,6
2020-05-07,5.717,11.1,17,6.3
2020-05-08,13.717,14.6,21.6,6.4
2020-05-09,13.283,16.3,23,8
2020-05-10,6.517,17.5,24,9.8
2020-05-11,0.317,7.2,15.9,2.3
2020-05-12,6.983,7.3,12.1,0.7
2020-05-13,3.783,9.8,14.6,5.6
